State,Carrier,Plan ID,Plan Name,Network,MA,Type,MOOP,Premium,Medical,Rx,PCP,Specialist,Dental,Vision,Hearing, Transportation ,OTC,Food_Util
TN,AETNA,H3146-012,Aetna Medicare Value Plus (HTN & HLD),HMO,MAPD,LIS,"$6,750 ",$9 ,$0 ,$250 (3-5),$0 ,$25 ,"$2,000 ",$200 ,"$1,250 ",Yes,$45 ,$90 
TN,AETNA,H5521-502,Aetna Medicare Primary,PPO,MAPD,MAPD,"$6,750 ",$0 ,$0 ,$0 ,$0 ,$50 ,"$1,050 ",$110 ,"$1,250 ",Yes,$45 ,$30 
TN,AETNA,H5521-501,Aetna Medicare Value Plus,PPO,MAPD,LIS,"$6,750 ",$11 ,$0 ,$250 ,$0 ,$35 ,"$1,000 ",$100 ,"$1,250 ",Yes,$45 ,$60 
TN,AETNA,H5521-355,Aetna Medicare Eagle,PPO,MA Only,MA Only,"$6,750 ",$0 ,$0 ,NA,$0 ,$35 ,"$2,000 ",$200 ,"$1,250 ",No,$45 ,$0 
TN,BCBS,H-7917-033,BlueAdvantageGarnet,PPO,MAPD,MAPD,"$4,400 ",$0 ,$0 ,$0 ,$0 ,$30 ,"$2,500 ",$225 ,$399-$899,No,$55 ,$0 
TN,BCBS,H-7917-041,BlueAdvantageExtra,PPO,MAPD,LIS,"$4,200 ",$26 ,$0 ,$590 ,$0 ,$25 ,"$2,500 ",$250 ,$199-$699,Yes,$125 ,No
TN,BCBS,H-7917-039,BlueAdvantageFreedom,PPO,MA Only,GIVEBACK,"$3,200 ",$0 ,$0 ,$0 ,$0 ,$25 ,"$2,000 ",$225 ,$199-$699,No,$100 ,$0 
TN,BCBS,H-3259-001,Blue Care Plus,HMO DSNP,MAPD,DSNP - MCO,"$8,850 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,900 ","$3,900 ","$3,900 ",Yes,$230 ,w/OTC
TN,BCBS,H-3259-003,Blue Care Plus Select,HMO DSNP,MAPD,DSNP - MCO,"$9,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,Medicaid,$500 ,TruHearing,Yes,$275 ,w/OTC
TN,CIGNA,H4513-049-004,Cigna Preferred Medicare,HMO,MAPD,MAPD,"$5,100 ",$0 ,$0 ,$0 ,$0 ,$15 ,"$2,050 ",$200 ,$399 - $1800,No,$60 ,$0 
TN,CIGNA,H4513-068-002,Cigna Preferred Savings Medicare,HMO,MAPD,GIVEBACK,"$6,200 ",$0 ,$0 ,$0 ,$0 ,$30 ,$650 ,$150 ,$399 - $1800,No,$0 ,
TN,CIGNA,H4513-033,Cigna Courage Medicare,HMO,MA Only,GIVEBACK,"$3,900 ",$0 ,$0 ,NA,$0 ,$30 ,"$2,500 ",$200 ,$399 - $1800,Yes,$100 ,
TN,CIGNA,H4513-036,Cigna Premier Medicare,HMO POS,MAPD,MAPD,"$6,150 ",$51 ,$0 ,$0 ,$0 ,$30 ,"$1,600 ",$300 ,$399 - $1800,No,$50 ,
TN,CIGNA,H4513-034,Cigna Total Care Plus DSNP,HMO DSNP,MAPD,DSNP,"$9,350 ",$17 ,$0 ,$0 ,$0 ,$0 ,"$2,500 ",$400 ,$399 - $1800,Yes,$150 ,$225 
TN,CIGNA,H4513-053-000,Cigna Primary Medicare,HMO,MAPD,MAPD,"$5,000 ",$29 ,$0 ,$590 (AllTiers),$0 ,$0 ,"$1,200 ",$100 ,$399-$1800,Yes,$120 ,
TN,DEVOTED,H9231-012-000,Devoted Choice Giveback,PPO,MAPD,GIVEBACK,"$8,300 ",$0 ,?,$590 ,$0 ,$50 ,$250 ,see Dental,599 - 899,No,$0 ,$0 
TN,DEVOTED,H9231-011-000,Devoted Choice TN ,PPO,MAPD,MAPD,"$5,500 ",$0 ,?,$590 ,$0 ,$30 ,"$1,000 ",see Dental,399 - 699,No,$0 ,$77 
TN,DEVOTED,H7605-004-000,Devoted Core TN,HMO,MAPD,MAPD,"$4,900 ",$0 ,?,$590 ,$0 ,$25 ,"$1,000 ",see Dental,399 - 699,No,$0 ,$91 
TN,DEVOTED,H7605-006-000,Devoted BeWell Plus CSNP,HMO CSNP,MAPD,CSNP,"$6,200 ",$25 ,?,$590 ,$0 ,$20 ,"$1,000 ",see Dental,199 - 499,No,$0 ,$165 
TN,HUMANA,H4461-025-000,Humana Gold Plus,HMO,MAPD,MAPD,"$4,900 ",$0 ,$0 ,$450 ,$0 ,$25 ,"$2,500 ",$250 ,, No ,$50 ,
TN,HUMANA,H4461-042-000,Humana Gold Plus DM and Heart,HMO CSNP,MAPD,CSNP,"$9,350 ",$0 ,$0 ,$590 ,$0 ,$45 ,"$1,500 ",$400 ,$199-$499, No ,$0 ,$115.00 
