State,Carrier,Plan Name,Plan ID,Network,MOOP,Premium,Medical,Rx,PCP,Specialist,Dental,Vision,Hearing, Transportation ,OTC,Food_Util
TN,AETNA,Aetna Medicare Value Plus (HTN & HLD),H3146-012,HMO,"$6,750 ",$9 ,$0 ,$250 (3-5),$0 ,$25 ,"$2,000 ",$200 ,"$1,250 ",Yes,$45 ,$90 
TN,AETNA,Aetna Medicare Primary,H5521-502,PPO,"$6,750 ",$0 ,$0 ,$0 ,$0 ,$50 ,"$1,050 ",$110 ,"$1,250 ",Yes,$45 ,$30 
TN,AETNA,Aetna Medicare Value Plus,H5521-501,PPO,"$6,750 ",$11 ,$0 ,$250 ,$0 ,$35 ,"$1,000 ",$100 ,"$1,250 ",Yes,$45 ,$60 
TN,AETNA,Aetna Medicare Eagle,H5521-355,PPO,"$6,750 ",$0 ,$0 ,NA,$0 ,$35 ,"$2,000 ",$200 ,"$1,250 ",No,$45 ,$0 
TN,BCBS,BlueAdvantageGarnet,H-7917-033,PPO,"$4,400 ",$0 ,$0 ,$0 ,$0 ,$30 ,"$2,500 ",$225 ,$399-$899,No,$55 ,$0 
TN,BCBS,BlueAdvantageExtra,H-7917-041,PPO,"$4,200 ",$26 ,$0 ,$590 ,$0 ,$25 ,"$2,500 ",$250 ,$199-$699,Yes,$125 ,No
TN,BCBS,BlueAdvantageFreedom,H-7917-039,PPO,"$3,200 ",$0 ,$0 ,$0 ,$0 ,$25 ,"$2,000 ",$225 ,$199-$699,No,$100 ,$0 
TN,BCBS,Blue Care Plus,H-3259-001,HMO DSNP,"$8,850 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,900 ","$3,900 ","$3,900 ",Yes,$230 ,w/OTC
TN,BCBS,Blue Care Plus Select,H-3259-003,HMO DSNP,"$9,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,Medicaid,$500 ,TruHearing,Yes,$275 ,w/OTC
TN,CIGNA,Cigna Preferred Medicare,H4513-049-004,HMO,"$5,100 ",$0 ,$0 ,$0 ,$0 ,$15 ,"$2,050 ",$200 ,$399 - $1800,No,$60 ,$0 
TN,CIGNA,Cigna Preferred Savings Medicare,H4513-068-002,HMO,"$6,200 ",$0 ,$0 ,$0 ,$0 ,$30 ,$650 ,$150 ,$399 - $1800,No,$0 ,
TN,CIGNA,Cigna Courage Medicare,H4513-033,HMO,"$3,900 ",$0 ,$0 ,NA,$0 ,$30 ,"$2,500 ",$200 ,$399 - $1800,Yes,$100 ,
TN,CIGNA,Cigna Premier Medicare,H4513-036,HMO POS,"$6,150 ",$51 ,$0 ,$0 ,$0 ,$30 ,"$1,600 ",$300 ,$399 - $1800,No,$50 ,
TN,CIGNA,Cigna Total Care Plus DSNP,H4513-034,HMO DSNP,"$9,350 ",$17 ,$0 ,$0 ,$0 ,$0 ,"$2,500 ",$400 ,$399 - $1800,Yes,$150 ,$225 
