State,Carrier,Plan ID,Plan Name,Network,MA,Type,MOOP,Premium,Giveback,Medical,Rx,PCP,Specialist,Dental,Vision,Hearing, Transportation ,OTC,SSBCI,Notes,SummaryOfBenefits
TN,HUMANA,H4461-004-000,Humana USAA Honor Giveback - HMO,HMO,MA Only,GIVEBACK,$3750 IN,$0 ,$150 ,$0 ,MA Only,$0 ,$25 ,"$4,000 ",$75-$150 eyewear,$399-$699 CoPay per ear/yr, No ,n/a,n/a,,Humana USAA Honor Giveback SOB H4461-004
TN,HUMANA,H4461-025-000,Humana Gold Plus,HMO,MAPD,MAPD,$4700 IN,$0 ,$1 ,$0 ,$615 (Tiers 4-5),$0 ,$15 ,"$3,000 ",$350-$450 eyewear,$199-$499 CoPay per ear/yr, No ,$75 Qtr,n/a,,Humana Gold Plus SOB H4461-025
TN,HUMANA,H4461-038-000,Humana Gold Plus SNP DE - QMB,HMO,MAPD,DSNP,$9250 IN,$0 ,$0 ,$0 ,$615 (Tiers 3-5),$0 ,$0 ,"$2,000 ",$75-$150 eyewear,$0 CoPay, No ,see Healthy Option* ,"$150 Mth OTC (Food,Util,Rent requires 2+ Qualifying Condition SSBCI)*",If you use for Rent/Utilities HUD requires report as income,Humana Gold Plus SNP-DE SOB H4461-038
TN,HUMANA,H4461-042-000,Humana Gold Plus CSNP DM and Heart,HMO,MAPD,CSNP,$9250 IN,$0 ,$0 ,$0 ,$615 (Tiers 3-5),$0 ,$35 ,"$3,000 ",$350-$450 eyewear,$199-$499 CoPay per ear/yr,"60 One Way / Unlimited for Cancer,CKD, ESRD",see Healthy Option* ,"$140 Mth OTC (Food,Util, Rent requires 2+ Qualifying Condition SSBCI)*",If you use for Rent/Utilities HUD requires report as income,Humana Gold Plus Diabetes & Heart SOB H4461-042
TN,HUMANA,H5216-235-000,Humana USAA Honor Giveback - PPO,PPO,MA Only,GIVEBACK,$3400 IN,$0 ,$65 ,$0 ,MA Only,$0 ,$25 ,"$2,000 ",$75-$150 eyewear,$399-$699 CoPay per ear/yr, No ,n/a,n/a,,Humana USAA Honor Giveback SOB H5216-235
TN,HUMANA,H7617-088-000,Humana Value Plus - LIS (Replace H5216-180-000),PPO,MAPD,LIS,$4900 IN,$27.70 ,$0 ,$257*,$615 (All Tiers),$0 ,$20 ,"$2,000 ",$150-$250 eyewear,$0 CoPay,"36 One Way / Unlimited for Cancer,CKD, ESRD",see Healthy Option* ,"$75 Mth OTC (Food,Util, Rent requires 2+ Qualifying Condition SSBCI)*",If you use for Rent/Utilities HUD requires report as income,Humana Value Plus SOB H7617-088
TN,ZING,H4624-043-000,Zing Elite Select TN-MS,HMO,MAPD,PSP,$3900 IN,$0 ,$0 ,$0 ,$0 ,$0 ,$15 ,"$2,350 ",$250 ,$0 Copay / $750 3yrs,40 One Way,$120 Qtr,"$80 Mth (Food,Utilities requires 2+ Qualifying Condition SSBCI)","30hrs In Home Support PapaPals, $400 Flex Card Debit",Zing Elite Select TN-MS SOB H4624-043
TN,ZING,H4624-044-000,Zing Select Care TN-MS,HMO,MAPD,MAPD,$4500 IN,$0 ,$0 ,$0 ,$0 ,$0 ,$25 ,"$2,150 ",$350 ,$0 Copay / $750 3yrs,12 One Way,$150 Qtr,"$75 Mth (Food,Utilities requires 2+ Qualifying Condition SSBCI)",30hrs In Home Support PapaPals,Zing Select Care TN-MS SOB H4624-044
TN,ZING,H6876-009-000,Zing Open Choice TN,PPO,MAPD,MAPD,$6350 IN,$0 ,$0 ,$0 ,$0 ,$0 ,$30 ,"$2,000 ",$200 ,$0 Copay / $750 3yrs,No,$150 Qtr,"$55 Mth (Food,Utilities requires 2+ Qualifying Condition SSBCI)",In Home Support PapaPals NOT INCLUDED,Zing Open Choice TN SOB H6876-009
TN,ZING,H4624-039-000,Zing Elite Diabetes & Heart TN-MS,HMO,MAPD,CSNP- PSP,$4500 IN,$0 ,$0 ,$0 ,$0 ,$0 ,$0-$20,"$2,500 ",$350 ,$0 Copay / $750 3yrs,30 One Way,see Healthy Option* ,"$170 Mth (OTC,Food,Utilities - SSBCI - HRA Required)",60hrs In Home Support PapaPals,Zing Elite Diabetes & Heart TN-MS SOB H4624-039
